Date,ClientID,SchemeID,Transaction,Value,Quantity
2026-06-21,I5000,IC101,SELL,29738,127
2026-06-21,I5001,IC101,BUY,32431,494
2026-06-21,I5002,IC101,BUY,9765,342
2026-06-21,I5003,IC103,BUY,45339,349
2026-06-21,I5004,IC103,BUY,8271,268
2026-06-21,I5005,IC101,BUY,20665,67
2026-06-21,I5006,IC103,BUY,39869,391
2026-06-21,I5007,IC103,SELL,27974,367
2026-06-21,I5008,IC102,BUY,38764,64
2026-06-21,I5009,IC103,SELL,44939,424
2026-06-21,I5010,IC103,SELL,40036,225
2026-06-21,I5011,IC103,BUY,4050,27
2026-06-21,I5012,IC101,SELL,17224,225
2026-06-21,I5013,IC101,SELL,14989,305
2026-06-21,I5014,IC103,BUY,7747,254
2026-06-21,I5015,IC102,BUY,38963,339
2026-06-21,I5016,IC104,SELL,8685,491
2026-06-21,I5017,IC102,BUY,46830,318
2026-06-21,I5018,IC101,SELL,24907,136
2026-06-21,I5019,IC101,SELL,9017,53
2026-06-21,I5020,IC101,SELL,16912,324
2026-06-21,I5021,IC101,SELL,16062,18
2026-06-21,I5022,IC101,BUY,2930,122
2026-06-21,I5023,IC101,SELL,4484,429
2026-06-21,I5024,IC103,SELL,35461,65
2026-06-21,I5025,IC103,SELL,33710,446
2026-06-21,I5026,IC101,SELL,46353,295
2026-06-21,I5027,IC103,BUY,34421,12
2026-06-21,I5028,IC104,BUY,18850,348
2026-06-21,I5029,IC102,BUY,30904,86
2026-06-21,I5030,IC103,BUY,24874,386
2026-06-21,I5031,IC102,SELL,24236,436
2026-06-21,I5032,IC103,SELL,42650,210
2026-06-21,I5033,IC101,BUY,47634,438
2026-06-21,I5034,IC103,BUY,40230,96
2026-06-21,I5035,IC103,BUY,37828,29
2026-06-21,I5036,IC103,SELL,40412,51
2026-06-21,I5037,IC102,SELL,28487,123
2026-06-21,I5038,IC103,BUY,41238,362
2026-06-21,I5039,IC103,BUY,6997,496
2026-06-21,I5040,IC103,BUY,29708,304
2026-06-21,I5041,IC102,BUY,11941,250
2026-06-21,I5042,IC104,SELL,12702,329
2026-06-21,I5043,IC104,SELL,41963,171
2026-06-21,I5044,IC102,SELL,33192,67
2026-06-21,I5045,IC103,BUY,41767,106
2026-06-21,I5046,IC101,SELL,22147,472
2026-06-21,I5047,IC104,BUY,24511,233
2026-06-21,I5048,IC104,BUY,19843,332
2026-06-21,I5049,IC103,BUY,31773,397
2026-06-21,I5050,IC103,SELL,34284,453
2026-06-21,I5051,IC103,BUY,32805,71
2026-06-21,I5052,IC102,BUY,26917,195
2026-06-21,I5053,IC103,SELL,26391,498
2026-06-21,I5054,IC102,SELL,10590,272
2026-06-21,I5055,IC102,BUY,32013,139
2026-06-21,I5056,IC103,SELL,27161,31
2026-06-21,I5057,IC101,SELL,12716,368
2026-06-21,I5058,IC104,SELL,26326,415
2026-06-21,I5059,IC104,SELL,10143,26
2026-06-21,I5060,IC103,SELL,6391,207
2026-06-21,I5061,IC101,SELL,23608,193
2026-06-21,I5062,IC104,SELL,19421,371
2026-06-21,I5063,IC104,SELL,41018,302
2026-06-21,I5064,IC101,BUY,39115,337
2026-06-21,I5065,IC104,SELL,26963,26
2026-06-21,I5066,IC103,SELL,36638,111
2026-06-21,I5067,IC104,SELL,47986,101
2026-06-21,I5068,IC101,BUY,5020,95
2026-06-21,I5069,IC104,BUY,38567,350
2026-06-21,I5070,IC103,BUY,15045,392
2026-06-21,I5071,IC103,BUY,24534,493
2026-06-21,I5072,IC102,BUY,8383,162
2026-06-21,I5073,IC103,SELL,21216,82
2026-06-21,I5074,IC103,SELL,48007,462
2026-06-21,I5075,IC104,SELL,34297,27
2026-06-21,I5076,IC101,BUY,30926,130
2026-06-21,I5077,IC104,BUY,39420,25
2026-06-21,I5078,IC104,BUY,47067,242
2026-06-21,I5079,IC103,SELL,1767,325
2026-06-21,I5080,IC104,SELL,44375,154
2026-06-21,I5081,IC104,BUY,35725,241
2026-06-21,I5082,IC103,BUY,36336,179
2026-06-21,I5083,IC102,SELL,12181,309
2026-06-21,I5084,IC101,SELL,2510,377
2026-06-21,I5085,IC103,BUY,32358,178
2026-06-21,I5086,IC104,BUY,39546,493
2026-06-21,I5087,IC103,SELL,15294,268
2026-06-21,I5088,IC102,BUY,25215,456
2026-06-21,I5089,IC101,BUY,23047,255
2026-06-21,I5090,IC102,BUY,14979,42
2026-06-21,I5091,IC102,BUY,33941,83
2026-06-21,I5092,IC103,BUY,12995,480
2026-06-21,I5093,IC102,BUY,22884,465
2026-06-21,I5094,IC102,BUY,26427,351
2026-06-21,I5095,IC103,BUY,8401,384
2026-06-21,I5096,IC104,BUY,17432,21
2026-06-21,I5097,IC103,BUY,45308,453
2026-06-21,I5098,IC101,SELL,36851,339
2026-06-21,I5099,IC104,BUY,41525,34
