transaction_date,user_id,scheme_code,txn_flag,investment_amount,unit_count
2026-06-21,Z7000,F103,S,38215,397
2026-06-21,Z7001,F102,S,41350,12
2026-06-21,Z7002,F102,B,7520,487
2026-06-21,Z7003,F101,B,33726,317
2026-06-21,Z7004,F104,B,1298,33
2026-06-21,Z7005,F104,B,46509,444
2026-06-21,Z7006,F104,S,39612,317
2026-06-21,Z7007,F104,B,41626,380
2026-06-21,Z7008,F103,S,14738,401
2026-06-21,Z7009,F101,B,3241,203
2026-06-21,Z7010,F102,B,9014,419
2026-06-21,Z7011,F101,B,24813,167
2026-06-21,Z7012,F103,B,9679,337
2026-06-21,Z7013,F104,S,47040,52
2026-06-21,Z7014,F103,B,22525,350
2026-06-21,Z7015,F104,S,25920,435
2026-06-21,Z7016,F101,B,7767,261
2026-06-21,Z7017,F102,S,1697,444
2026-06-21,Z7018,F102,B,39291,402
2026-06-21,Z7019,F104,B,41173,401
2026-06-21,Z7020,F101,S,45072,421
2026-06-21,Z7021,F104,B,17733,389
2026-06-21,Z7022,F103,S,4661,454
2026-06-21,Z7023,F102,S,32909,359
2026-06-21,Z7024,F104,S,17871,152
2026-06-21,Z7025,F102,B,15333,88
2026-06-21,Z7026,F103,B,3409,183
2026-06-21,Z7027,F104,B,42797,272
2026-06-21,Z7028,F103,B,46537,395
2026-06-21,Z7029,F103,B,39842,461
2026-06-21,Z7030,F103,S,49063,182
2026-06-21,Z7031,F102,S,48016,165
2026-06-21,Z7032,F103,B,32812,113
2026-06-21,Z7033,F104,S,1592,252
2026-06-21,Z7034,F101,B,49816,195
2026-06-21,Z7035,F101,B,48938,131
2026-06-21,Z7036,F104,S,18737,408
2026-06-21,Z7037,F101,B,3802,310
2026-06-21,Z7038,F102,B,9893,191
2026-06-21,Z7039,F104,S,5558,376
2026-06-21,Z7040,F101,S,19343,193
2026-06-21,Z7041,F104,B,4973,471
2026-06-21,Z7042,F104,S,18666,344
2026-06-21,Z7043,F101,B,42879,299
2026-06-21,Z7044,F103,B,24640,349
2026-06-21,Z7045,F103,B,48194,43
2026-06-21,Z7046,F102,B,10069,331
2026-06-21,Z7047,F102,S,38982,407
2026-06-21,Z7048,F103,B,46472,81
2026-06-21,Z7049,F104,S,42737,178
2026-06-21,Z7050,F103,S,49598,228
2026-06-21,Z7051,F101,S,32404,222
2026-06-21,Z7052,F101,B,39502,13
2026-06-21,Z7053,F102,S,20304,167
2026-06-21,Z7054,F104,B,48212,59
2026-06-21,Z7055,F101,S,12903,424
2026-06-21,Z7056,F101,B,5023,235
2026-06-21,Z7057,F104,S,47445,316
2026-06-21,Z7058,F102,B,16229,22
2026-06-21,Z7059,F103,B,27094,61
2026-06-21,Z7060,F103,S,47603,398
2026-06-21,Z7061,F102,B,43560,239
2026-06-21,Z7062,F104,B,33404,113
2026-06-21,Z7063,F102,B,6182,60
2026-06-21,Z7064,F104,S,18031,468
2026-06-21,Z7065,F104,B,21280,99
2026-06-21,Z7066,F102,S,27814,36
2026-06-21,Z7067,F101,S,43249,153
2026-06-21,Z7068,F103,S,25582,30
2026-06-21,Z7069,F101,B,24981,385
2026-06-21,Z7070,F103,S,33438,416
2026-06-21,Z7071,F102,S,31419,303
2026-06-21,Z7072,F102,S,9983,231
2026-06-21,Z7073,F103,S,11987,413
2026-06-21,Z7074,F101,B,23540,39
2026-06-21,Z7075,F104,B,44453,425
2026-06-21,Z7076,F104,S,49566,142
2026-06-21,Z7077,F101,B,18826,78
2026-06-21,Z7078,F101,S,25171,12
2026-06-21,Z7079,F103,S,47311,494
2026-06-21,Z7080,F101,S,4420,275
2026-06-21,Z7081,F103,S,44919,13
2026-06-21,Z7082,F103,B,49624,33
2026-06-21,Z7083,F102,S,7547,223
2026-06-21,Z7084,F101,B,27648,431
2026-06-21,Z7085,F102,S,17863,382
2026-06-21,Z7086,F101,B,40493,36
2026-06-21,Z7087,F103,S,4022,307
2026-06-21,Z7088,F103,B,36428,362
2026-06-21,Z7089,F103,B,7263,359
2026-06-21,Z7090,F102,S,12404,387
2026-06-21,Z7091,F103,S,21034,396
2026-06-21,Z7092,F104,B,11357,247
2026-06-21,Z7093,F103,B,9506,46
2026-06-21,Z7094,F102,S,6818,338
2026-06-21,Z7095,F102,S,17503,50
2026-06-21,Z7096,F102,S,34606,295
2026-06-21,Z7097,F102,S,7090,255
2026-06-21,Z7098,F101,S,47873,237
2026-06-21,Z7099,F103,S,20353,13
